Entry	Gene Names (primary)	Gene Names	Mass	Length	Protein names
Q6LZP8	dapA	dapA MMP0576	31584	289	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)
Q6M044	rfcS	rfcS rfcA MMP0427	35643	315	Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit)
Q6M057	thrS	thrS MMP0414	71469	622	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)
Q6M0E4		MMP0327	54597	505	AMP phosphorylase (AMPpase) (EC 2.4.2.57) (Nucleoside monophosphate phosphorylase) (NMP phosphorylase)
Q6M0L1	rpl10	rpl10 rplP0 MMP0259	35805	335	Large ribosomal subunit protein uL10 (50S ribosomal protein L10) (Acidic ribosomal protein P0 homolog)
Q6M0M1	rpl37ae	rpl37ae MMP0249	10675	96	Large ribosomal subunit protein eL43 (50S ribosomal protein L37Ae)
Q6M0T4	ribK	ribK MMP0184	14345	127	Riboflavin kinase (RFK) (EC 2.7.1.161) (CTP-dependent riboflavin kinase) (CTP:riboflavin 5'-phosphotransferase) (Flavokinase)
Q6M0U8	cofF	cofF MMP0170	32127	285	Coenzyme gamma-F420-2:alpha-L-glutamate ligase (EC 6.3.2.32)
Q6M0X3	hpt	hpt MMP0145	20402	185	Hypoxanthine/guanine phosphoribosyltransferase (HGPRTase) (EC 2.4.2.8)
Q6M1A3	truD1	truD1 MMP0014	46201	389	Probable tRNA pseudouridine synthase D 1 (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D 1) (tRNA-uridine isomerase D 1)
P0C036	pdxT	pdxT MMP1656	20632	187	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
P0CW65	trm1	trm1 trmI MMP0228	41820	373	tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)
P60820	selD	selD MMP0904	36152	335	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)
P61710	alaS	alaS MMP0397	101406	892	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
P62454	hisF	hisF MMP1722	29960	272	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
Q6LWM3	truB	truB MMP1686	37662	333	Probable tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)
Q6LWZ0	mtrA	mtrA MMP1564	24955	239	Tetrahydromethanopterin S-methyltransferase subunit A (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)
Q6LX03	srp54	srp54 MMP1551	49857	450	Signal recognition particle 54 kDa protein (SRP54) (EC 3.6.5.4)
Q6LX41	alr	alr MMP1512	41536	373	Alanine racemase (EC 5.1.1.1)
Q6LX55	hcgB	hcgB MMP1497	17189	159	Pyridinol guanylyltransferase HcgB (EC 2.7.7.109)
Q6LX68	ecfA	ecfA cbiO MMP1484	30567	278	Energy-coupling factor transporter ATP-binding protein EcfA (ECF transporter A component EcfA) (EC 7.-.-.-)
Q6LXC0	purA	purA MMP1432	36573	338	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
Q6LXF9	rtcB	rtcB MMP1392	52801	480	tRNA-splicing ligase RtcB (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)
Q6LXH7	rnhB	rnhB MMP1374	27671	242	Ribonuclease HII (RNase HII) (EC 3.1.26.4)
Q6LXM4	rpo10	rpo10 rpoN MMP1326	8269	68	DNA-directed RNA polymerase subunit Rpo10 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit N)
Q6LXR3	dnaG	dnaG MMP1286	48637	436	DNA primase DnaG (EC 2.7.7.101)
Q6LXU2	pheT	pheT MMP1255	62644	554	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
Q6LYD8	hdrB2	hdrB2 MMP1053	32026	293	H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit B2 (EC 1.8.98.5) (EC 1.8.98.6) (CoB--CoM heterodisulfide reductase subunit B2)
Q6LYR8	ahcY	ahcY MMP0920	45834	415	S-inosyl-L-homocysteine hydrolase (SIHH) (EC 3.13.1.9)
Q6LYS1	dapF	dapF MMP0917	30835	277	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)
Q6LYV9	cofG	cofG MMP0876	38039	330	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase (EC 4.3.1.32) (FO synthase subunit 1)
Q6LZG8	apt2	apt2 MMP0660	18982	172	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
Q6LZR9	flaK	flaK MMP0555	25915	230	Preflagellin peptidase (PFP) (EC 3.4.23.52)
Q6M0E6	gap	gap MMP0325	37270	340	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)
Q6M0L9	psmA	psmA MMP0251	28514	259	Proteasome subunit alpha (20S proteasome alpha subunit) (Proteasome core protein PsmA)
Q6M0N3	epdC	epdC MMP0237	17266	154	Minor structural pilin EpdC (EppA-dependent protein C)
Q6M0N4	epdB	epdB MMP0236	14246	132	Minor structural pilin EpdB
Q6M0Q7	glyS	glyS MMP0212	66010	574	Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)
Q6M0Z5	purT	purT MMP0123	42908	388	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)
Q6M116	pcm	pcm MMP0102	23108	212	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)
Q6M130	hemA	hemA MMP0088	43612	382	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)
Q6M154	argB	argB MMP0063	32250	294	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
P0CW47	glnBII	glnBII nifI2 MMP0855	13233	121	Nitrogen fixation nifHD region glnB-like protein 2
P60846	rpl4	rpl4 MMP1544	27127	252	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)
P60850	albA	albA MMP1613	9940	89	DNA/RNA-binding protein Alba
P61300	rps8e	rps8e MMP1658	14331	128	Small ribosomal subunit protein eS8 (30S ribosomal protein S8e)
P62445	rpl11	rpl11 MMP1433	16873	159	Large ribosomal subunit protein uL11 (50S ribosomal protein L11)
Q6LWX2	pdaD	pdaD MMP1582	17584	164	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC) (EC 4.1.1.19) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha]
Q6LX65		MMP1487	50981	465	Lactaldehyde dehydrogenase (EC 1.2.1.22)
Q6LX80		MMP1472	25673	223	RNA-free ribonuclease P (RNA-free RNase P) (EC 3.1.26.5) (Protein-only RNase P)
Q6LXD6	rpl32e	rpl32e MMP1416	15535	135	Large ribosomal subunit protein eL32 (50S ribosomal protein L32e)
Q6LXD9	rps14	rps14 MMP1413	6100	53	Small ribosomal subunit protein uS14 (30S ribosomal protein S14 type Z)
Q6LXE4	rps17	rps17 rpsQ MMP1408	12141	109	Small ribosomal subunit protein uS17 (30S ribosomal protein S17)
Q6LXM6	rpl13	rpl13 MMP1324	15195	137	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)
Q6LXN9	purO	purO MMP1310	22582	201	IMP cyclohydrolase (EC 3.5.4.10) (IMP synthase) (Inosinicase)
Q6LXQ9	engB	engB MMP1290	26663	230	Probable GTP-binding protein EngB
Q6LXR0	rpl10e	rpl10e MMP1289	19372	173	Large ribosomal subunit protein uL16 (50S ribosomal protein L10e)
Q6LY02	mch	mch MMP1191	34823	323	Methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27) (Methenyl-H4MPT cyclohydrolase)
Q6LY46	rpl37e	rpl37e MMP1147	7257	64	Large ribosomal subunit protein eL37 (50S ribosomal protein L37e)
Q6LYC4		MMP1067	56112	494	Uncharacterized iron-sulfur protein MMP1067
Q6LYE0	surE	surE MMP1051	28980	262	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)
Q6LYE5	atpD	atpD MMP1046	24394	214	A-type ATP synthase subunit D
Q6LYF4	rlmH	rlmH MMP1037	18162	159	Putative ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
Q6LYR4	trmY	trmY MMP0924	22860	200	tRNA (pseudouridine(54)-N(1))-methyltransferase (EC 2.1.1.257)
Q6LZA1	uvrC	uvrC MMP0728	61368	527	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)
Q6LZG2	rps2	rps2 MMP0667	25262	220	Small ribosomal subunit protein uS2 (30S ribosomal protein S2)
Q6LZI8	rps28e	rps28e MMP0640	8457	76	Small ribosomal subunit protein eS28 (30S ribosomal protein S28e)
Q6LZK1	cmk	cmk MMP0626	20212	178	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)
Q6LZP7	rps17e	rps17e MMP0577	7265	63	Small ribosomal subunit protein eS17 (30S ribosomal protein S17e)
Q6M030		MMP0442	18121	158	GTP-dependent dephospho-CoA kinase (EC 2.7.1.237) (Dephospho-coenzyme A kinase) (DPCK)
Q6M060	comD	comD MMP0411	18467	167	Sulfopyruvate decarboxylase subunit alpha (EC 4.1.1.79)
Q6M0F1	aroK	aroK MMP0320	30411	283	Shikimate kinase (SK) (EC 2.7.1.71)
Q6M0H0	hypA	hypA MMP0301	14212	126	Hydrogenase maturation factor HypA
Q6M0L3	tbp	tbp MMP0257	20113	181	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)
Q6M0N8	eppA	eppA MMP0232	38669	346	Prepilin peptidase EppA (EC 3.4.-.-) (Euryarchaeal type IV prepilin peptidase)
Q6M146	priS	priS priA MMP0071	42294	357	DNA primase small subunit PriS (EC 2.7.7.-)
Q6M155	rpl31e	rpl31e MMP0062	9669	83	Large ribosomal subunit protein eL31 (50S ribosomal protein L31e)
Q6M156	eif6	eif6 MMP0061	24595	227	Translation initiation factor 6 (aIF-6)
P0C1V5	vhuU	vhuU MMP1693	5083	44	F420-non-reducing hydrogenase vhu subunit U (EC 1.12.99.-)
P61350	gatB	gatB MMP0946	53318	469	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
P61820	cbiT	cbiT MMP1221	20166	181	Probable cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) (EC 2.1.1.196)
Q6LWJ8	pcn	pcn MMP1711	27871	250	DNA polymerase sliding clamp (Proliferating cell nuclear antigen homolog) (PCNA)
Q6LWX6		MMP1578	19878	171	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (NAD(+) diphosphorylase) (NAD(+) pyrophosphorylase) (NMN adenylyltransferase)
Q6LWX9	bioW	bioW MMP1575	27453	244	6-carboxyhexanoate--CoA ligase (EC 6.2.1.14) (Pimeloyl-CoA synthase)
Q6LX08	rpl2	rpl2 MMP1546	25768	240	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)
Q6LX70	cbiN	cbiN MMP1482	10797	98	Cobalt transport protein CbiN (Energy-coupling factor transporter probable substrate-capture protein CbiN) (ECF transporter S component CbiN)
Q6LX82	pfdA	pfdA pdfA MMP1470	16389	144	Prefoldin subunit alpha (GimC subunit alpha)
Q6LXA4	ehaA	ehaA MMP1448	9345	88	Probable [NiFe]-hydrogenase-type-3 Eha complex membrane subunit A
Q6LXB7	secE	secE MMP1435	7843	69	Protein translocase subunit SecE (Protein transport protein Sec61 gamma subunit homolog)
Q6LXC1	pgk2	pgk2 MMP1431	35858	312	2-phosphoglycerate kinase (2PGK) (EC 2.7.2.16)
Q6LXC7		MMP1425	20477	179	tRNA (cytidine(56)-2'-O)-methyltransferase (EC 2.1.1.206) (tRNA ribose 2'-O-methyltransferase aTrm56)
Q6LXE2	rpl24	rpl24 MMP1410	13394	119	Large ribosomal subunit protein uL24 (50S ribosomal protein L24)
Q6LXE7	rps3	rps3 MMP1404	23254	211	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)
Q6LXI4	rps12	rps12 MMP1367	16156	147	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)
Q6LXM5	rps9	rps9 MMP1325	14910	134	Small ribosomal subunit protein uS9 (30S ribosomal protein S9)
Q6LXM7	rpl18e	rpl18e MMP1323	12871	120	Large ribosomal subunit protein eL18 (50S ribosomal protein L18e)
Q6LXN1	rps13	rps13 MMP1319	17171	149	Small ribosomal subunit protein uS13 (30S ribosomal protein S13)
Q6LXT2	gatE	gatE MMP1265	71170	631	Glutamyl-tRNA(Gln) amidotransferase subunit E (Glu-ADT subunit E) (EC 6.3.5.-)
Q6LXV6		MMP1240	43377	380	O-phospho-L-seryl-tRNA:Cys-tRNA synthase (EC 2.5.1.73) (Sep-tRNA:Cys-tRNA synthase) (SepCysS)
Q6LY84	srp19	srp19 MMP1107	10461	89	Signal recognition particle 19 kDa protein (SRP19)
Q6LYD1	cysS	cysS MMP1060	55409	476	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
Q6LYF7	tmk	tmk MMP1034	22723	199	Probable thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
Q6LYG5	argS	argS MMP1026	64132	566	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
Q6LYI9	trpA	trpA MMP1002	28497	258	Tryptophan synthase alpha chain (EC 4.2.1.20)
Q6LYY1	msrA	msrA MMP0848	18151	157	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
Q6LZC1	mfnB	mfnB MMP0708	25114	236	(5-formylfuran-3-yl)methyl phosphate synthase (EC 4.2.3.153) (4-(hydroxymethyl)-2-furancarboxaldehyde-phosphate synthase) (4-HFC-P synthase)
Q6LZM4		MMP0600	25327	227	Probable minor pilin MMP0600
Q6M029	rps27ae	rps27ae MMP0444	7532	67	Small ribosomal subunit protein eS31 (30S ribosomal protein S27ae)
Q6M0H3	eif2b	eif2b MMP0297	15971	138	Translation initiation factor 2 subunit beta (aIF2-beta) (eIF-2-beta)
Q6M0I6	infB	infB MMP0284	66154	598	Probable translation initiation factor IF-2
Q6M0M5	pfdB	pfdB MMP0245	13478	113	Prefoldin subunit beta (GimC subunit beta)
Q6M0V9	rpl39e	rpl39e MMP0159	6004	51	Large ribosomal subunit protein eL39 (50S ribosomal protein L39e)
Q6M101	cofC	cofC MMP0117	24709	222	2-phospho-L-lactate guanylyltransferase (LP guanylyltransferase) (EC 2.7.7.68)
Q6M181	tfe	tfe MMP0036	20869	175	Transcription factor E (TFE) (TFIIE subunit alpha homolog) (Transcription initiation factor TFIIE)
P0CW61	radB	radB MMP0617	24455	216	DNA repair and recombination protein RadB
P0CW67	lysS	lysS MMP1318	61237	533	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
P60921	hisS	hisS MMP1614	47630	416	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
P62134	rad50	rad50 MMP1341	116892	993	DNA double-strand break repair Rad50 ATPase
P62357	hisA	hisA MMP0417	26205	241	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
Q6LWY7	mtrH	mtrH MMP1567	34348	319	Tetrahydromethanopterin S-methyltransferase subunit H (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit H)
Q6LX07	rps19	rps19 MMP1547	18524	161	Small ribosomal subunit protein uS19 (30S ribosomal protein S19)
Q6LX09	rpl23	rpl23 MMP1545	9628	86	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)
Q6LX10	rpl3	rpl3 MMP1543	36652	334	Large ribosomal subunit protein uL3 (50S ribosomal protein L3)
Q6LX43	gatA	gatA MMP1510	47139	431	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q6LX62	pstK	pstK MMP1490	29776	255	L-seryl-tRNA(Sec) kinase (EC 2.7.1.164) (O-phosphoseryl-tRNA(Sec) kinase) (PSTK)
Q6LXD4	rpl18	rpl18 MMP1418	21409	193	Large ribosomal subunit protein uL18 (50S ribosomal protein L18)
Q6LXD8	rps8	rps8 MMP1414	14324	130	Small ribosomal subunit protein uS8 (30S ribosomal protein S8)
Q6LXE0	rpl5	rpl5 rplE MMP1412	20360	181	Large ribosomal subunit protein uL5 (50S ribosomal protein L5)
Q6LXF3		MMP1398	46968	415	Uncharacterized metallohydrolase MMP1398 (EC 3.-.-.-)
Q6LXI2	fusA	fusA MMP1369	80134	727	Elongation factor 2 (EF-2)
Q6LXX7		MMP1218	45548	415	Ornithine cyclodeaminase (OCD) (EC 4.3.1.12) (Archaeal ornithine cyclodeaminase) (Mls2)
Q6LY59	endA	endA MMP1132	20731	177	tRNA-splicing endonuclease (EC 4.6.1.16) (tRNA-intron endonuclease)
Q6LYF0	atpE	atpE MMP1041	22777	203	A-type ATP synthase subunit E
Q6LYG0	adkA	adkA MMP1031	21094	192	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)
Q6LYR0	cheD	cheD MMP0928	16387	154	Probable chemoreceptor glutamine deamidase CheD (EC 3.5.1.44)
Q6LZD2	leuS	leuS MMP0697	110690	955	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
Q6LZD3	proS	proS MMP0696	53319	460	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)
Q6LZM1	eif1a	eif1a MMP0603	12355	104	Translation initiation factor 1A (aIF-1A)
Q6LZM7	flpA	flpA MMP0597	26026	230	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase (EC 2.1.1.-)
Q6M066	gch3	gch3 MMP0405	29942	266	GTP cyclohydrolase III (EC 3.5.4.29)
Q6M099	mtd	mtd MMP0372	29907	277	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)
Q6M0E9	rfcL	rfcL rfcB MMP0322	54502	486	Replication factor C large subunit (RFC large subunit) (Clamp loader large subunit)
Q6M0P5	hemL	hemL MMP0224	47426	427	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)
Q6M0W1		MMP0157	14026	119	DNA-binding protein MMP0157
Q6M132		MMP0086	17347	149	Putative transcriptional regulatory protein MMP0086
Q6M139	gfcR	gfcR MMP0079	22744	205	Transcriptional regulator GfcR
Q6M197		MMP0020	16059	141	Putative nickel-responsive regulator
P0CW55	nifE	nifE MMP0858	53289	480	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE
P60942	uppP	uppP bacA upk MMP1144	27278	249	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)
P61193	rps24e	rps24e MMP0443	11458	102	Small ribosomal subunit protein eS24 (30S ribosomal protein S24e)
P61234	pth	pth MMP0609	12705	116	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)
P62348	hisE	hisE MMP0051	10886	96	Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)
P62649	rpl22	rpl22 rplV MMP1403	17457	153	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)
Q6LWL1	carS	carS MMP1698	19831	178	CDP-archaeol synthase (EC 2.7.7.67) (CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase)
Q6LWL3	vhuD	vhuD MMP1696	14658	134	F420-non-reducing hydrogenase vhu iron-sulfur subunit D (EC 1.12.99.-)
Q6LWX5	rps15	rps15 MMP1579	17027	151	Small ribosomal subunit protein uS15 (30S ribosomal protein S15)
Q6LXB3	apgM	apgM MMP1439	44464	406	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (aPGAM) (EC 5.4.2.12)
Q6LXD1	rpl15	rpl15 MMP1421	15951	143	Large ribosomal subunit protein uL15 (50S ribosomal protein L15)
Q6LXD2	rpl30	rpl30 MMP1420	17269	154	Large ribosomal subunit protein uL30 (50S ribosomal protein L30)
Q6LXE3	rpl14	rpl14 MMP1409	14269	132	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)
Q6LXE6	rpl29	rpl29 MMP1405	7784	71	Large ribosomal subunit protein uL29 (50S ribosomal protein L29)
Q6LXF0	ef1b	ef1b MMP1401	9820	89	Elongation factor 1-beta (EF-1-beta) (aEF-1beta)
Q6LXI3	rps7	rps7 MMP1368	20815	188	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)
Q6LXM9	rps11	rps11 MMP1321	13418	124	Small ribosomal subunit protein uS11 (30S ribosomal protein S11)
Q6LXN0	rps4	rps4 MMP1320	20462	178	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)
Q6LXY7	rps6e	rps6e MMP1207	13538	124	Small ribosomal subunit protein eS6 (30S ribosomal protein S6e)
Q6LY87	pyrI	pyrI MMP1104	16715	148	Aspartate carbamoyltransferase regulatory chain
Q6LYE6	atpB	atpB MMP1045	50701	462	A-type ATP synthase subunit B
Q6LYI0	gltX	gltX MMP1011	64095	555	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)
Q6LYK4	rsmA	rsmA ksgA MMP0987	30786	267	Probable ribosomal RNA small subunit methyltransferase A (EC 2.1.1.-) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)
Q6LYN8	eif5a	eif5a MMP0952	14324	131	Translation initiation factor 5A (Hypusine-containing protein) (eIF-5A)
Q6LYT4		MMP0903	7998	75	Probable minor pilin MMP0903
Q6LZG0	rps3ae	rps3ae MMP0669	25432	225	Small ribosomal subunit protein eS1 (30S ribosomal protein S3Ae) (Ribosomal protein S1e)
Q6LZK2	rpl14e	rpl14e MMP0625	8349	77	Large ribosomal subunit protein eL14 (50S ribosomal protein L14e)
Q6LZL8	rlmE	rlmE rrmJ MMP0606	29571	258	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)
Q6LZS1	argF	argF MMP0553	34084	304	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)
Q6LZU5		MMP0528	7741	73	Probable minor pilin MMP0528
Q6M067	cofD	cofD MMP0404	34679	309	2-phospho-L-lactate transferase (EC 2.7.8.28)
Q6M0I0	nac	nac MMP0290	14130	126	Nascent polypeptide-associated complex protein
O74026	argH	argH MMP0013	54052	481	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
P0CW45	glnBI	glnBI nifI1 MMP0854	11503	105	Nitrogen fixation nifHD region glnB-like protein 1
P0CW59	radA	radA MMP1222	35146	322	DNA repair and recombination protein RadA
P60888	hisB	hisB MMP0548	21218	190	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)
P61003	hisC	hisC MMP1216	42246	371	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)
P61370	rpl15e	rpl15e MMP0298	22220	194	Large ribosomal subunit protein eL15 (50S ribosomal protein L15e)
P61395	fluC	fluC crcB MMP1279	13573	122	Fluoride-specific ion channel FluC
P61731	prf1	prf1 MMP1131	47250	419	Peptide chain release factor subunit 1 (Translation termination factor aRF1)
P61988	cbiD	cbiD MMP1203	40103	365	Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)
P62026	rpl40e	rpl40e MMP0151	5528	47	Large ribosomal subunit protein eL40 (50S ribosomal protein L40e)
P62428	rps4e	rps4e MMP1411	27071	244	Small ribosomal subunit protein eS4 (30S ribosomal protein S4e)
Q6LWK3	nop10	nop10 MMP1706	5977	51	Ribosome biogenesis protein Nop10
Q6LXD7	rpl6	rpl6 rplF MMP1415	19970	182	Large ribosomal subunit protein uL6 (50S ribosomal protein L6)
Q6LXE5		MMP1406	11504	102	Protein translation factor SUI1 homolog
Q6LXI0	rps10	rps10 rpsJ MMP1371	11545	102	Small ribosomal subunit protein uS10 (30S ribosomal protein S10)
Q6LXI6	rpl30e	rpl30e MMP1365	10824	100	Large ribosomal subunit protein eL30 (50S ribosomal protein L30e)
Q6LXX9	cobQ	cobQ MMP1215	54580	492	Probable cobyric acid synthase
Q6LYE8	atpF	atpF MMP1043	10649	99	A-type ATP synthase subunit F
Q6LYI7	trpF	trpF MMP1004	23621	211	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)
Q6LYN9	cobD	cobD MMP0951	34145	306	Probable cobalamin biosynthesis protein CobD
Q6LYQ3	hcgF	hcgF MMP0935	18425	165	Iron-guanylylpyridinol cofactor biosynthesis protein HcgF (EC 2.3.1.-)
Q6LZC0		MMP0709	21531	198	Probable minor pilin MMP0709
Q6LZF1		MMP0678	37061	326	Putative HTH-type transcriptional regulatory protein MMP0678
Q6LZK0	rpl34e	rpl34e MMP0627	9791	89	Large ribosomal subunit protein eL34 (50S ribosomal protein L34e)
Q6LZM3		MMP0601	33397	295	Probable minor pilin MMP0601
Q6M0L0	rpl1	rpl1 rplA MMP0260	23131	213	Large ribosomal subunit protein uL1 (50S ribosomal protein L1)
Q6M125	rpl21e	rpl21e MMP0093	10995	97	Large ribosomal subunit protein eL21 (50S ribosomal protein L21e)
Q6M157	rpl18a	rpl18a rpl20e rplX MMP0060	8635	76	Large ribosomal subunit protein eL20 (50S ribosomal protein L18Ae) (50S ribosomal protein L20e) (50S ribosomal protein LX)
Q6M176	tfb	tfb MMP0041	38206	339	Transcription initiation factor IIB (TFIIB)
P0CW69		MMP1509	12049	113	UPF0212 protein MMP1509
P61618		MMP1652	36799	332	Uncharacterized solute-binding protein MMP1652
Q6LZI6		MMP0642	35376	325	UPF0285 protein MMP0642
Q6LWN0		MMP1679	16100	145	UPF0179 protein MMP1679
Q6LZK8		MMP0619	15301	131	UPF0251 protein MMP0619
Q6M1B4		MMP0002	39103	354	UPF0425 pyridoxal phosphate-dependent protein MMP0002
