present_in,absent_from,gene,description,in_model,best_hit,pident,evalue,criterion
auris,parapsilosis,XP_085453346.1,MIX23 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453361.1,uncharacterized protein B9J08_02498 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453378.1,uncharacterized protein B9J08_02515 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453383.1,uncharacterized protein B9J08_02520 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453391.1,uncharacterized protein B9J08_02529 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453395.1,uncharacterized protein B9J08_02533 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453403.1,uncharacterized protein B9J08_02541 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453416.1,uncharacterized protein B9J08_02555 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453419.1,uncharacterized protein B9J08_02558 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453443.1,uncharacterized protein B9J08_02582 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453452.1,uncharacterized protein B9J08_02591 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453453.1,uncharacterized protein B9J08_02592 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453460.1,uncharacterized protein B9J08_02600 [Candidozyma auris B8441],False,CPAR2_201430,27.7,7.8e-09,no_hit_e10
auris,parapsilosis,XP_085453462.1,uncharacterized protein B9J08_02602 [Candidozyma auris B8441],False,CPAR2_501370,26.0,2.88e-05,no_hit_e10
auris,parapsilosis,XP_085453470.1,uncharacterized protein B9J08_02610 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453471.1,uncharacterized protein B9J08_02611 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453477.1,uncharacterized protein B9J08_02618 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453480.1,uncharacterized protein B9J08_02621 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453481.1,uncharacterized protein B9J08_02622 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453486.1,mitochondrial 37S ribosomal protein mS38 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453489.1,uncharacterized protein B9J08_02630 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453492.1,uncharacterized protein B9J08_02633 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453493.1,uncharacterized protein B9J08_02634 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453502.1,DUF4246 domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453519.1,uncharacterized protein B9J08_02660 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453527.1,uncharacterized protein B9J08_02668 [Candidozyma auris B8441],False,CPAR2_802630,24.2,6.17e-05,no_hit_e10
auris,parapsilosis,XP_085453529.1,uncharacterized protein B9J08_02670 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453539.1,mating pheromone alpha [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453540.1,uncharacterized protein B9J08_02682 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453570.1,nucleobase cation symporter-1 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453596.1,uncharacterized protein B9J08_02741 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453599.1,Est1p [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085453604.1,Zn(II)2Cys6 transcription factor domain-containing protein [Candidozyma auris B8441],False,CPAR2_800890,45.3,0.000185,no_hit_e10
auris,parapsilosis,XP_085453608.1,uncharacterized protein B9J08_02753 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453614.1,Dad3p [Candidozyma auris B8441],False,CPAR2_204910,27.7,8.06e-05,no_hit_e10
auris,parapsilosis,XP_085453620.1,Fgr50p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453630.1,uncharacterized protein B9J08_02775 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453633.1,S-adenosylmethionine-homocysteine S-methyltransferase [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085453637.1,Fgr41p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453644.1,uncharacterized protein B9J08_02789 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453646.1,uncharacterized protein B9J08_02793 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453651.1,TVP15 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453652.1,sporulation-specific 71 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453655.1,uncharacterized protein B9J08_02802 [Candidozyma auris B8441],False,CPAR2_704260,29.0,6.63e-10,no_hit_e10
auris,parapsilosis,XP_085453660.1,uncharacterized protein B9J08_02807 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453668.1,uncharacterized protein B9J08_02816 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453669.1,uncharacterized protein B9J08_02817 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453694.1,uncharacterized protein B9J08_02842 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453700.1,uncharacterized protein B9J08_02848 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453701.1,uncharacterized protein B9J08_02849 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453702.1,uncharacterized protein B9J08_02850 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453714.1,uncharacterized protein B9J08_02863 [Candidozyma auris B8441],False,CPAR2_405750,60.0,5.81e-09,no_hit_e10
auris,parapsilosis,XP_085453715.1,uncharacterized protein B9J08_02864 [Candidozyma auris B8441],False,CPAR2_401885,29.3,0.00064,no_hit_e10
auris,parapsilosis,XP_085453720.1,uncharacterized protein B9J08_02869 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453730.1,FG-nucleoporin [Candidozyma auris B8441],False,CPAR2_302030,30.2,2.96e-07,no_hit_e10
auris,parapsilosis,XP_085453738.1,uncharacterized protein B9J08_02887 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453740.1,uncharacterized protein B9J08_02889 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453748.1,uncharacterized protein B9J08_02897 [Candidozyma auris B8441],False,CPAR2_700900,48.8,0.000199,no_hit_e10
auris,parapsilosis,XP_085453749.1,uncharacterized protein B9J08_02898 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453752.1,uncharacterized protein B9J08_02901 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453794.1,uncharacterized protein B9J08_02944 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453818.1,uncharacterized protein B9J08_02969 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453830.1,uncharacterized protein B9J08_02981 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453842.1,uncharacterized protein B9J08_02993 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453847.1,uncharacterized protein B9J08_02998 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453850.1,HVA22/TB2/DP1 family protein [Candidozyma auris B8441],False,CPAR2_109380,25.4,1.38e-08,no_hit_e10
auris,parapsilosis,XP_085453857.1,uncharacterized protein B9J08_03008 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453858.1,UBA domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453859.1,uncharacterized protein B9J08_03010 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453860.1,uncharacterized protein B9J08_03011 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453861.1,uncharacterized protein B9J08_03012 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453870.1,NAD-dependent epimerase/dehydratase family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453872.1,dihydrodipicolinate synthase family protein [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085453881.1,uncharacterized protein B9J08_00020 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453883.1,uncharacterized protein B9J08_00022 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453884.1,uncharacterized protein B9J08_00023 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453887.1,uncharacterized protein B9J08_00026 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453895.1,uncharacterized protein B9J08_00034 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453911.1,uncharacterized protein B9J08_00050 [Candidozyma auris B8441],False,CPAR2_203630,23.6,8.09e-10,no_hit_e10
auris,parapsilosis,XP_085453926.1,Zcf4p [Candidozyma auris B8441],False,CPAR2_501290,47.4,3.25e-09,no_hit_e10
auris,parapsilosis,XP_085453930.1,uncharacterized protein B9J08_00069 [Candidozyma auris B8441],False,CPAR2_208330,28.7,6.31e-07,no_hit_e10
auris,parapsilosis,XP_085453951.1,Zn(II)2Cys6 transcription factor [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453952.1,uncharacterized protein B9J08_00091 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453966.1,uncharacterized protein B9J08_00107 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085453993.1,uncharacterized protein B9J08_00136 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454007.1,uncharacterized protein B9J08_00150 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454016.1,uncharacterized protein B9J08_00159 [Candidozyma auris B8441],False,CPAR2_102180,31.9,4.58e-06,no_hit_e10
auris,parapsilosis,XP_085454034.1,uncharacterized protein B9J08_00177 [Candidozyma auris B8441],False,CPAR2_213760,28.7,0.00011,no_hit_e10
auris,parapsilosis,XP_085454036.1,Rho GTPase-activating protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454038.1,uncharacterized protein B9J08_00181 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454041.1,uncharacterized protein B9J08_00184 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454046.1,uncharacterized protein B9J08_00189 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454056.1,Zcf32p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454073.1,uncharacterized protein B9J08_00216 [Candidozyma auris B8441],False,CPAR2_808300,37.8,2.14e-06,no_hit_e10
auris,parapsilosis,XP_085454077.1,uncharacterized protein B9J08_00220 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454079.1,M20 family metallopeptidase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454082.1,uncharacterized protein B9J08_00225 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454090.1,uncharacterized protein B9J08_00233 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454104.1,electron transfer flavoprotein regulatory factor 1 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454108.1,uncharacterized protein B9J08_00251 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454116.1,DNA-binding transcriptional regulator [Candidozyma auris B8441],False,CPAR2_400210,40.7,7.77e-10,no_hit_e10
auris,parapsilosis,XP_085454118.1,uncharacterized protein B9J08_00261 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454155.1,1-phosphatidylinositol 4-kinase [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085454188.1,uncharacterized protein B9J08_00332 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454210.1,biotin synthase [Candidozyma auris B8441],False,CPAR2_401640,25.5,0.000773,no_hit_e10
auris,parapsilosis,XP_085454219.1,uncharacterized protein B9J08_00364 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454223.1,DEAD/DEAH box helicase [Candidozyma auris B8441],False,CPAR2_402350,25.9,2.78e-08,no_hit_e10
auris,parapsilosis,XP_085454229.1,uncharacterized protein B9J08_00374 [Candidozyma auris B8441],False,CPAR2_503130,42.1,5.46e-07,no_hit_e10
auris,parapsilosis,XP_085454231.1,uncharacterized protein B9J08_00376 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454245.1,uncharacterized protein B9J08_00390 [Candidozyma auris B8441],False,CPAR2_109760,27.8,1.58e-07,no_hit_e10
auris,parapsilosis,XP_085454257.1,Asr1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454267.1,uncharacterized protein B9J08_00412 [Candidozyma auris B8441],False,CPAR2_101650,48.1,4.15e-08,no_hit_e10
auris,parapsilosis,XP_085454287.1,uncharacterized protein B9J08_00435 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454302.1,uncharacterized protein B9J08_00451 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454303.1,uncharacterized protein B9J08_00452 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454304.1,uncharacterized protein B9J08_00453 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454327.1,uncharacterized protein B9J08_00476 [Candidozyma auris B8441],False,CPAR2_102230,48.8,7.93e-06,no_hit_e10
auris,parapsilosis,XP_085454332.1,uncharacterized protein B9J08_00481 [Candidozyma auris B8441],False,CPAR2_103050,39.5,1.28e-06,no_hit_e10
auris,parapsilosis,XP_085454335.1,uncharacterized protein B9J08_00484 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454336.1,uncharacterized protein B9J08_00486 [Candidozyma auris B8441],False,CPAR2_806140,37.5,9.32e-09,no_hit_e10
auris,parapsilosis,XP_085454350.1,uncharacterized protein B9J08_00500 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454353.1,Rct1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454355.1,uncharacterized protein B9J08_00505 [Candidozyma auris B8441],False,CPAR2_802090,35.4,5.57e-08,no_hit_e10
auris,parapsilosis,XP_085454360.1,uncharacterized protein B9J08_00510 [Candidozyma auris B8441],False,CPAR2_802030,25.2,2.91e-07,no_hit_e10
auris,parapsilosis,XP_085454365.1,uncharacterized protein B9J08_00515 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454398.1,uncharacterized protein B9J08_00549 [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085454403.1,uncharacterized protein B9J08_00554 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454416.1,uncharacterized protein B9J08_00568 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454429.1,uncharacterized protein B9J08_00582 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454433.1,uncharacterized protein B9J08_00586 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454435.1,uncharacterized protein B9J08_00588 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454436.1,uncharacterized protein B9J08_00589 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454440.1,uncharacterized protein B9J08_00593 [Candidozyma auris B8441],False,CPAR2_107330,27.7,4.14e-09,no_hit_e10
auris,parapsilosis,XP_085454441.1,Pga25p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454453.1,uncharacterized protein B9J08_00606 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454459.1,uncharacterized protein B9J08_00612 [Candidozyma auris B8441],False,CPAR2_303100,43.8,8.03e-08,no_hit_e10
auris,parapsilosis,XP_085454460.1,uncharacterized protein B9J08_00613 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454463.1,uncharacterized protein B9J08_00616 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454479.1,uncharacterized protein B9J08_00632 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454483.1,uncharacterized protein B9J08_00636 [Candidozyma auris B8441],False,CPAR2_502310,26.3,1.12e-06,no_hit_e10
auris,parapsilosis,XP_085454489.1,Dqd1p [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085454496.1,Rme1p [Candidozyma auris B8441],False,CPAR2_212670,26.4,5.67e-05,no_hit_e10
auris,parapsilosis,XP_085454530.1,uncharacterized protein B9J08_00684 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454548.1,uncharacterized protein B9J08_00702 [Candidozyma auris B8441],False,CPAR2_102290,38.2,0.000158,no_hit_e10
auris,parapsilosis,XP_085454586.1,uncharacterized protein B9J08_00743 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454601.1,uncharacterized protein B9J08_00758 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454603.1,uncharacterized protein B9J08_00760 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454638.1,uncharacterized protein B9J08_00796 [Candidozyma auris B8441],False,CPAR2_211500,50.0,5.72e-06,no_hit_e10
auris,parapsilosis,XP_085454658.1,uncharacterized protein B9J08_00816 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454666.1,uncharacterized protein B9J08_00826 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454683.1,fungal specific transcription factor domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454689.1,cupin domain-containing protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454690.1,Pra1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454697.1,uncharacterized protein B9J08_00857 [Candidozyma auris B8441],False,CPAR2_803220,42.2,6.71e-07,no_hit_e10
auris,parapsilosis,XP_085454701.1,uncharacterized protein B9J08_00861 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454702.1,ribonuclease P subunit p25 family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454710.1,uncharacterized protein B9J08_00870 [Candidozyma auris B8441],False,CPAR2_801070,29.5,7.3e-07,no_hit_e10
auris,parapsilosis,XP_085454777.1,uncharacterized protein B9J08_00944 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454797.1,uncharacterized protein B9J08_00967 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454798.1,uncharacterized protein B9J08_00968 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454800.1,uncharacterized protein B9J08_00970 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454804.1,uncharacterized protein B9J08_00974 [Candidozyma auris B8441],True,,,,no_hit_e3
auris,parapsilosis,XP_085454817.1,uncharacterized protein B9J08_00987 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454825.1,uncharacterized protein B9J08_00995 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454833.1,uncharacterized protein B9J08_01003 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454837.1,uncharacterized protein B9J08_01007 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454848.1,uncharacterized protein B9J08_01019 [Candidozyma auris B8441],False,CPAR2_213740,24.5,1.96e-08,no_hit_e10
auris,parapsilosis,XP_085454866.1,uncharacterized protein B9J08_01039 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454876.1,uncharacterized protein B9J08_01049 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454889.1,Hap41p [Candidozyma auris B8441],False,CPAR2_500870,35.6,7.6e-08,no_hit_e10
auris,parapsilosis,XP_085454920.1,INCENP ARK-binding domain-containing protein [Candidozyma auris B8441],False,CPAR2_110440,30.1,3.23e-05,no_hit_e10
auris,parapsilosis,XP_085454944.1,mRNA splicing protein [Candidozyma auris B8441],False,CPAR2_106060,20.7,5.66e-10,no_hit_e10
auris,parapsilosis,XP_085454945.1,uncharacterized protein B9J08_01121 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454955.1,uncharacterized protein B9J08_01131 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454962.1,uncharacterized protein B9J08_01138 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454968.1,uncharacterized protein B9J08_01144 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085454971.1,uncharacterized protein B9J08_01147 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455002.1,uncharacterized protein B9J08_01178 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455003.1,uncharacterized protein B9J08_01179 [Candidozyma auris B8441],False,CPAR2_700610,39.7,0.000124,no_hit_e10
auris,parapsilosis,XP_085455005.1,protein-lysine N-methyltransferase [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455010.1,uncharacterized protein B9J08_01186 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455018.1,uncharacterized protein B9J08_01194 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455019.1,uncharacterized protein B9J08_01195 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455021.1,YqaE/Pmp3 family membrane protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455022.1,uncharacterized protein B9J08_01198 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455028.1,uncharacterized protein B9J08_01204 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455029.1,uncharacterized protein B9J08_01205 [Candidozyma auris B8441],False,CPAR2_212950,27.3,5.11e-06,no_hit_e10
auris,parapsilosis,XP_085455058.1,uncharacterized protein B9J08_01236 [Candidozyma auris B8441],False,CPAR2_105260,31.3,6.07e-05,no_hit_e10
auris,parapsilosis,XP_085455102.1,pheromone-regulated protein [Candidozyma auris B8441],False,CPAR2_603060,24.7,8.58e-07,no_hit_e10
auris,parapsilosis,XP_085455104.1,"uncharacterized protein B9J08_01283, partial [Candidozyma auris B8441]",False,,,,no_hit_e3
auris,parapsilosis,XP_085455153.1,uncharacterized protein B9J08_01334 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455158.1,uncharacterized protein B9J08_01340 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455164.1,uncharacterized protein B9J08_01346 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455168.1,uncharacterized protein B9J08_01350 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455186.1,uncharacterized protein B9J08_01370 [Candidozyma auris B8441],False,CPAR2_402190,30.3,8.1e-10,no_hit_e10
auris,parapsilosis,XP_085455191.1,uncharacterized protein B9J08_01375 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455202.1,uncharacterized protein B9J08_01387 [Candidozyma auris B8441],False,CPAR2_402400,26.3,1.36e-09,no_hit_e10
auris,parapsilosis,XP_085455206.1,uncharacterized protein B9J08_01391 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455222.1,uncharacterized protein B9J08_01409 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455227.1,uncharacterized protein B9J08_01414 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455239.1,uncharacterized protein B9J08_01428 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455250.1,uncharacterized protein B9J08_01439 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455260.1,uncharacterized protein B9J08_01449 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455270.1,uncharacterized protein B9J08_01459 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455276.1,uncharacterized protein B9J08_01465 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455299.1,Med1p [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455304.1,uncharacterized protein B9J08_01493 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455313.1,uncharacterized protein B9J08_01502 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455325.1,uncharacterized protein B9J08_01514 [Candidozyma auris B8441],False,CPAR2_210760,35.6,9.36e-09,no_hit_e10
auris,parapsilosis,XP_085455341.1,uncharacterized protein B9J08_01530 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455367.1,uncharacterized protein B9J08_01556 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455370.1,uncharacterized protein B9J08_01559 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455373.1,uncharacterized protein B9J08_01562 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455375.1,reverse transcriptase family protein [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455379.1,uncharacterized protein B9J08_01568 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455413.1,uncharacterized protein B9J08_01602 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455420.1,uncharacterized protein B9J08_01609 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455426.1,uncharacterized protein B9J08_01615 [Candidozyma auris B8441],False,,,,no_hit_e3
auris,parapsilosis,XP_085455429.1,FG-nucleoporin [Candidozyma auris B8441],False,,,,no_hit_e3
