candidate,found_in,query_gene,searched,best_hit,pident,evalue,present,hit_in_model
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025342000.1,C. parapsilosis,CPAR2_300620,45.4,2.05e-178,True,True
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025343028.1,C. parapsilosis,CPAR2_804840,47.5,1.95e-208,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025343267.1,C. parapsilosis,CPAR2_211430,27.7,7.19e-43,True,False
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025344296.1,C. parapsilosis,CPAR2_808120,33.4,2.8e-127,True,True
iron uptake: ferric reductase (FRE-like),C. haemulonii,XP_025344423.1,C. parapsilosis,CPAR2_808120,39.5,6.07e-96,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025335271.1,C. parapsilosis,CPAR2_401740,35.9,2.4e-132,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025335341.1,C. parapsilosis,CPAR2_210110,38.0,4.77e-156,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025335668.1,C. parapsilosis,CPAR2_300620,45.7,1.32e-184,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025336627.1,C. parapsilosis,CPAR2_808120,40.8,5.98e-180,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025336900.1,C. parapsilosis,CPAR2_808120,33.8,8.35e-123,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025337752.1,C. parapsilosis,CPAR2_210110,25.2,6.66e-43,True,True
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025337889.1,C. parapsilosis,CPAR2_804840,47.5,4.71e-209,True,False
iron uptake: ferric reductase (FRE-like),C. duobushaemulonii,XP_025338073.1,C. parapsilosis,CPAR2_211430,27.5,4.46e-35,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036664251.1,C. parapsilosis,CPAR2_300620,100.0,0.0,True,True
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036664252.1,C. parapsilosis,CPAR2_300630,100.0,0.0,True,True
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036665108.1,C. parapsilosis,CPAR2_804840,100.0,0.0,True,False
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036665434.1,C. parapsilosis,CPAR2_808110,100.0,0.0,True,True
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036665435.1,C. parapsilosis,CPAR2_808120,100.0,0.0,True,True
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036666533.1,C. parapsilosis,CPAR2_210110,100.0,0.0,True,True
iron uptake: ferric reductase (FRE-like),C. parapsilosis,XP_036666534.1,C. parapsilosis,CPAR2_210120,100.0,0.0,True,True
